APP_ID, CIBIL_SCORE_VALUE ,NEW_CUST,CUS_CATGCODE , EMPLOYMENT_TYPE ,AGE, SEX  , NO_OF_DEPENDENTS , MARITAL , EDU_QUA,  P_RESTYPE , P_CATEGORY , EMPLOYEE_TYPE ,  MON_IN_OCC , INCOM_EXP_GMI ,LTV, TENURE ,STATUS
37347,0,YES,1,1,22,M,3,1,1,0,1,1,48,0,0.839475839,36,1
37349,0,YES,1,1,43,F,3,0,1,0,1,1,120,0,0.771333333,18,0
37351,0,YES,1,0,43,F,3,0,1,0,1,2,168,0,0.8375,24,0
37353,2,NO,0,1,52,F,3,1,1,0,1,1,60,1,0.85,18,0
37355,2,NO,1,1,25,F,3,0,0,0,1,1,36,1,0.89894746,12,0
37357,0,YES,0,1,28,F,3,0,1,0,1,1,14,0,0.653611859,24,0
37359,0,YES,0,1,23,F,3,1,0,0,1,1,60,0,0.899828277,36,0
37361,1,NO,0,0,31,F,3,0,0,0,1,0,60,1,0.75233762,24,0
37363,2,NO,0,1,31,F,3,1,0,0,1,1,72,2,0.847093023,24,0
37365,2,NO,0,1,26,F,3,0,0,0,1,1,12,0,0.78424709,36,0
37367,0,YES,1,1,29,F,3,1,0,0,1,1,24,0,0.602238806,12,0
37369,0,YES,1,1,27,M,3,1,0,0,1,1,72,0,0.847368421,24,0
37371,0,YES,1,1,27,F,3,0,0,0,1,1,36,0,0.822649573,12,0
37373,1,NO,1,0,50,F,3,1,1,0,1,2,60,1,0.838636364,24,1
37375,1,NO,1,1,37,F,3,1,1,0,1,1,120,1,0.612283634,18,1
37377,0,YES,0,1,22,F,3,0,0,0,1,1,6,0,0.828773585,36,1
37379,1,NO,1,1,27,F,3,0,0,0,1,1,24,0,0.832402235,36,1
37381,2,NO,1,0,27,F,3,1,1,1,1,0,60,1,0.720720721,24,1
37383,1,NO,1,0,23,F,3,0,1,0,1,0,24,1,0.891104063,36,0
37385,1,NO,0,1,26,F,3,0,1,0,1,1,72,0,0.867854663,36,0
37387,1,NO,0,1,34,F,3,0,0,0,1,1,60,1,0.839450687,24,1
37389,2,NO,1,1,27,F,3,0,0,0,1,1,48,0,0.689175258,24,0
37391,2,NO,1,1,51,F,3,0,1,0,1,1,84,0,0.888,36,0
37393,2,NO,0,0,36,F,3,0,0,0,1,0,72,1,0.848371221,24,0
37395,2,NO,0,0,38,F,3,0,0,0,1,0,72,1,0.9,24,0
37397,2,NO,1,0,32,F,3,0,1,0,1,2,204,1,0.888,24,0
37399,1,NO,1,0,39,F,3,1,1,0,1,0,96,0,0.613899922,24,1
37401,0,YES,1,1,30,M,3,1,1,1,1,1,17,0,0.894054537,36,0
37403,0,YES,1,1,22,M,3,0,1,0,1,1,12,0,0.683146067,12,1
37405,0,YES,1,0,27,F,3,0,1,0,1,2,24,1,0.888819876,18,0
37407,0,YES,0,1,35,F,2,0,0,0,1,0,12,0,0.949367089,24,1
37409,0,YES,0,0,34,F,0,0,0,1,1,0,48,0,0.84953854,36,1
37411,2,NO,0,1,23,F,2,0,0,0,1,0,24,0,0.85,12,0
37413,1,NO,1,0,39,F,2,0,0,1,1,0,276,0,0.949852372,36,0
37415,1,NO,1,0,30,F,2,1,0,1,1,0,84,0,0.849933599,24,0
37417,1,NO,1,1,25,M,2,0,0,0,1,1,12,0,0.988127036,24,0
37419,2,NO,0,1,26,F,2,1,1,0,2,1,18,0,0.998372771,36,0
37421,1,NO,1,1,34,F,2,0,1,0,1,1,12,1,0.848118095,24,1
37423,1,NO,1,1,24,F,2,0,1,0,1,1,12,2,0.938480904,24,0
37425,2,NO,1,0,47,M,2,1,1,0,1,1,120,0,0.825725236,24,0
37427,2,NO,1,1,25,F,2,0,1,0,2,1,36,1,0.827764734,12,1
37429,2,NO,1,1,24,F,2,0,1,0,2,1,42,1,0.777210462,24,0
37431,2,NO,1,1,33,F,2,0,1,1,2,1,120,1,0.840017342,18,0
37433,1,NO,1,1,37,F,2,1,0,0,2,1,24,1,0.892759037,36,1
37435,1,NO,1,0,31,F,2,0,1,0,2,1,24,1,0.844473479,24,0
37437,2,NO,1,1,43,F,2,1,1,1,2,1,132,2,0.895034104,24,0
37439,2,NO,1,1,54,F,2,1,1,0,1,1,360,2,0.925983085,24,1
37441,2,NO,1,0,50,F,2,1,1,0,1,1,24,1,0.834747386,24,1
37443,2,NO,1,1,33,F,2,1,1,0,1,1,24,2,0.540242677,36,0
37445,2,NO,1,1,29,F,2,0,1,0,1,1,36,0,0.829559988,36,0
37447,2,NO,1,1,23,F,2,0,1,0,1,1,48,1,0.937366851,24,0
37449,0,YES,1,1,49,F,2,1,1,0,1,1,180,0,0.833755174,24,1
37451,0,YES,1,1,29,F,2,1,1,1,2,1,24,0,0.748872708,18,0
37453,2,NO,1,1,36,F,2,0,1,1,2,1,30,1,0.987874636,36,0
37455,0,YES,1,1,29,F,2,0,1,0,2,1,2,0,0.78242073,12,0
37457,2,NO,1,1,32,F,2,1,1,0,2,1,48,2,0.827600476,24,0
37459,2,NO,0,1,32,F,2,0,1,0,2,1,12,2,0.826463357,12,0
37461,0,YES,1,1,39,F,2,1,1,0,1,1,144,0,0.557530141,18,0
37463,2,NO,1,1,38,F,2,1,1,0,1,1,84,1,0.709846586,36,0
37465,0,YES,0,1,22,F,2,0,1,0,2,1,12,1,0.47390062,12,0
37467,2,NO,1,1,43,F,2,1,0,1,1,1,84,2,0.903623843,18,0
37469,0,YES,1,1,22,M,2,0,0,1,1,1,24,0,0.841304957,24,0
37471,0,YES,1,1,22,F,2,0,0,0,1,1,36,0,0.632714247,12,0
37473,2,NO,1,1,35,F,3,1,1,1,2,1,24,1,0.71196899,12,0
37475,2,NO,1,1,41,F,3,1,0,0,2,1,222,3,0.372653003,12,1
37477,1,NO,1,0,45,F,3,1,0,1,2,0,185,2,0.8,24,1
37479,1,NO,1,1,35,M,3,1,1,1,2,1,60,1,0.894350685,36,1
37481,2,NO,1,1,29,F,3,0,0,0,2,1,36,1,0.873831059,24,1
37483,1,NO,1,1,54,M,3,1,0,1,2,1,245,0,0.844561158,18,1
37485,2,NO,1,1,29,F,3,0,1,0,2,1,12,1,0.663680106,12,0
37487,0,YES,1,1,48,F,3,1,0,0,2,1,12,0,0.686405217,24,0
37489,2,NO,1,1,41,F,3,1,1,0,2,1,132,2,0.950705899,36,0
37491,0,YES,1,1,24,F,3,0,1,1,2,1,17,0,0.848496276,12,0
37493,1,NO,1,1,38,M,3,1,0,1,2,1,18,0,0.848496276,36,0
37495,2,NO,1,1,38,F,3,1,1,1,2,1,12,0,0.842105263,36,1
37497,1,NO,1,1,28,F,3,0,1,1,2,1,48,1,0.808100014,24,0
37499,1,NO,1,1,48,F,3,1,1,0,2,1,120,2,0.720660125,12,1
37501,1,NO,1,1,51,F,3,1,1,0,2,1,348,1,0.838541255,24,0
37503,0,YES,1,0,37,M,3,1,1,1,2,0,12,0,0.790268846,24,1
37505,2,NO,1,1,51,M,3,1,0,1,2,1,12,0,0.775995861,18,1
37507,0,NO,1,1,33,F,2,1,0,1,2,1,125,0,0.858056962,24,0
37509,2,NO,1,1,28,F,3,0,0,1,2,1,36,0,0.849302468,24,0
37511,1,NO,1,1,26,F,3,0,1,0,2,1,108,1,0.847307067,24,0
37513,1,NO,1,1,42,F,3,1,1,0,2,1,6,0,0.894266176,36,1
37515,2,NO,1,1,37,F,3,1,1,0,2,1,120,1,0.889630247,24,0
37517,1,NO,1,0,52,F,3,1,1,0,2,0,336,2,0.90353072,24,0
37519,2,NO,1,1,29,F,3,0,0,0,2,1,72,0,0.66897768,12,0
37521,0,YES,1,1,46,F,3,1,1,2,2,1,300,1,0.912242292,24,0
37523,0,YES,0,1,46,F,3,1,0,0,2,1,185,0,0.832,18,1
37525,0,YES,1,1,26,F,2,0,0,1,2,1,29,0,0.792726137,24,0
37527,0,YES,1,1,19,F,3,0,1,0,2,1,12,0,0.836400134,18,0
37529,2,NO,1,1,30,F,3,0,0,1,2,1,17,1,0.828907377,36,1
