Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-Aug-19,27.9,29.05,27.9,29,28.6310966,9493,53,271795,8793,92.63,1.15,1.1
16-Aug-19,29.65,29.95,24.05,25,27.25896171,19667,128,536102,11811,60.05,5.9,-4.65
14-Aug-19,29.7,29.7,29.5,29.55,29.51480111,4324,22,127622,2866,66.28,0.2,-0.15
13-Aug-19,29.3,29.45,29.2,29.45,29.42454874,11080,120,326024,11055,99.77,0.25,0.15
09-Aug-19,25,29.2,25,29.2,28.66434732,24001,168,687973,9776,40.73,4.2,4.2
08-Aug-19,27.95,28.65,25,27.85,25.85646467,3581,109,92592,3581,100,3.65,-0.1
07-Aug-19,27.9,27.9,23.05,27.9,26.1754386,171,56,4476,129,75.44,4.85,0
06-Aug-19,25.9,28.9,25.9,28,26.08246328,5651,114,147392,5651,100,3,2.1
05-Aug-19,27.65,28.75,24.95,28.75,25.40196078,2448,10,62184,2448,100,3.8,1.1
02-Aug-19,25.15,27.7,25.15,27.7,25.15763787,10245,56,257740,10245,100,2.55,2.55
01-Aug-19,25.45,27.9,25.45,27.9,25.69413542,7281,13,187079,3550,48.76,2.45,2.45
31-Jul-19,28.2,28.25,27.9,28.25,28.23227207,2764,18,78034,2259,81.73,0.35,0.05
30-Jul-19,27.55,27.8,26.15,27.8,27.46533923,2712,45,74486,2462,90.78,1.65,0.25
29-Jul-19,27.25,27.45,27.2,27.2,27.3818751,18527,84,507304,14234,76.83,0.25,-0.05
26-Jul-19,26.7,27.5,26.7,26.9,27.44827586,4321,74,118604,4321,100,0.8,0.2
25-Jul-19,26.5,26.75,26.5,26.7,26.647605,11524,108,307087,11374,98.7,0.25,0.2
24-Jul-19,26.45,26.45,26,26.1,26.19129508,6571,88,172103,6421,97.72,0.45,-0.35
23-Jul-19,24.35,25.5,23.85,25.5,24.62570668,12028,73,296198,11995,99.73,1.65,1.15
22-Jul-19,24.2,24.2,24,24,24.09208777,6016,20,144938,2705,44.96,0.2,-0.2
19-Jul-19,24.2,24.2,24.05,24.05,24.14124294,177,17,4273,177,100,0.15,-0.15
18-Jul-19,24.5,24.55,24.2,24.2,24.41894086,12935,42,315859,4900,37.88,0.35,-0.3
17-Jul-19,25.4,25.9,24,24,25.60252415,6418,26,164317,2366,36.86,1.9,-1.4
16-Jul-19,25.65,25.95,25.35,25.5,25.83665204,5926,81,153108,5856,98.82,0.6,-0.15
15-Jul-19,25.55,25.75,25.5,25.6,25.5817637,28032,94,717108,18346,65.45,0.25,0.05
12-Jul-19,25.4,25.4,25.25,25.3,25.28647363,7149,33,180773,7000,97.92,0.15,-0.1
11-Jul-19,25.15,25.25,25.15,25.25,25.16623113,6888,103,173345,6688,97.1,0.1,0.1
10-Jul-19,23.95,25,23.95,25,24.90927963,19268,169,479952,19018,98.7,1.05,1.05
09-Jul-19,21.75,23,21.7,23,21.95857558,1376,94,30215,626,45.49,1.3,1.25
08-Jul-19,21.7,21.7,21.5,21.5,21.59493671,79,15,1706,73,92.4,0.2,-0.2
05-Jul-19,21.55,21.7,21.55,21.6,21.6162044,21957,74,474627,12118,55.19,0.15,0.05
04-Jul-19,21.65,21.65,21.55,21.55,21.64899713,1396,30,30222,1301,93.19,0.1,-0.1
03-Jul-19,21.6,21.6,21.6,21.6,21.59997593,24931,179,538509,21956,88.07,0,0
02-Jul-19,24.5,24.5,24,24,24.0781893,1215,39,29255,1215,100,0.5,-0.5
01-Jul-19,25,25,24.4,24.4,24.94944756,13214,6,329682,13214,100,0.6,-0.6
28-Jun-19,24.8,25,24.8,24.95,24.96854369,2575,28,64294,2575,100,0.2,0.15
27-Jun-19,22.4,24.8,22.4,24.75,24.62761126,1101,43,27115,1101,100,2.4,2.35
26-Jun-19,25.5,25.5,24.85,24.85,24.93128068,2241,71,55871,1137,50.74,0.65,-0.65
25-Jun-19,26,26.15,25.45,25.45,26.01694247,2538,90,66031,2538,100,0.7,-0.55
24-Jun-19,26.5,26.5,25.95,25.95,26.45066991,2463,37,65148,2463,100,0.55,-0.55
21-Jun-19,26.7,26.7,26.45,26.45,26.4580292,548,15,14499,548,100,0.25,-0.25
20-Jun-19,27.05,27.05,26.6,26.6,26.91231549,4539,43,122155,4523,99.65,0.45,-0.45
19-Jun-19,26.95,26.95,26.9,26.9,26.91165049,1030,38,27719,1030,100,0.05,-0.05
18-Jun-19,26.9,26.9,26.9,26.9,26.89041096,73,9,1963,73,100,0,0
17-Jun-19,27.35,27.35,26.5,26.5,27.33211177,2183,76,59666,2183,100,0.85,-0.85
14-Jun-19,26.85,27.05,26.85,27.05,26.95140914,1029,36,27733,1029,100,0.2,0.2
13-Jun-19,26.4,26.45,26.4,26.45,26.41540578,727,54,19204,727,100,0.05,0.05
12-Jun-19,26.1,26.1,26.05,26.05,26.07248764,1214,57,31652,1214,100,0.05,-0.05
11-Jun-19,25.9,25.9,25.8,25.8,25.84612069,11600,43,299815,11600,100,0.1,-0.1
10-Jun-19,26.7,26.85,25.65,25.65,26.78914209,7460,95,199847,7460,100,1.2,-1.05
07-Jun-19,26.75,26.9,26.3,26.3,26.78258008,9116,61,244150,9116,100,0.6,-0.45
06-Jun-19,27.05,27.05,26.75,26.75,26.93739471,32649,117,879479,28263,86.57,0.3,-0.3
04-Jun-19,26.5,26.95,26.45,26.95,26.5096025,6717,106,178065,6717,100,0.5,0.45
03-Jun-19,26.35,26.55,26.35,26.55,26.45650605,22164,222,586382,22164,100,0.2,0.2
31-May-19,26,26.15,26,26.15,26.03802512,14806,121,385519,14806,100,0.15,0.15
30-May-19,25.6,25.6,25.5,25.6,25.55338111,10884,94,278123,10884,100,0.1,0
29-May-19,25.55,25.55,25,25.2,25.03487883,21417,60,536172,21417,100,0.55,-0.35
28-May-19,25.45,25.5,25.45,25.5,25.49425759,17066,146,435085,10573,61.95,0.05,0.05
27-May-19,25.3,25.4,25.3,25.4,25.32923077,7475,66,189336,3275,43.81,0.1,0.1
24-May-19,25.75,25.8,25.4,25.4,25.47984767,3151,81,80287,3151,100,0.4,-0.35
23-May-19,25.85,25.85,25.75,25.8,25.79184696,4391,58,113252,191,4.35,0.1,-0.05
22-May-19,25.75,25.75,25.65,25.7,25.68486739,3846,46,98784,3346,87,0.1,-0.05
21-May-19,26,26,25.6,25.6,25.61686682,11158,59,285833,11158,100,0.4,-0.4
20-May-19,25.3,25.35,25.3,25.35,25.30870712,379,38,9592,369,97.36,0.05,0.05
17-May-19,24.8,25,24.8,25,24.87793427,1065,9,26495,1065,100,0.2,0.2
16-May-19,24.65,24.65,24.65,24.65,24.64923954,1052,19,25931,1052,100,0,0
15-May-19,24.5,24.5,24.5,24.5,24.49771689,219,8,5365,219,100,0,0
14-May-19,24.35,24.35,24.35,24.35,24.33333333,15,2,365,15,100,0,0
13-May-19,24.4,24.4,24.35,24.35,24.34866828,413,2,10056,413,100,0.05,-0.05
10-May-19,24.25,24.25,24.2,24.2,24.24802528,633,7,15349,633,100,0.05,-0.05
09-May-19,24.1,24.1,24.1,24.1,24.09565217,115,7,2771,115,100,0,0
08-May-19,24.1,24.15,24.1,24.1,24.14958449,3249,5,78462,3249,100,0.05,0
07-May-19,24.05,24.05,24,24,24.001386,1443,3,34634,1443,100,0.05,-0.05
06-May-19,23.7,23.7,23.7,23.7,23.66666667,3,1,71,3,100,0,0
03-May-19,23.3,23.65,23.3,23.5,23.64604811,2328,10,55048,2328,100,0.35,0.2
02-May-19,23.7,23.7,23.5,23.5,23.6953125,384,4,9099,384,100,0.2,-0.2
26-Apr-19,23.5,23.5,23.45,23.45,23.48837209,86,5,2020,86,100,0.05,-0.05
25-Apr-19,23.45,23.45,23.45,23.45,23,1,1,23,1,100,0,0
24-Apr-19,23.2,23.2,23.2,23.2,23.2,80,3,1856,80,100,0,0
23-Apr-19,23.05,23.05,23.05,23.05,23.04458599,157,1,3618,157,100,0,0
22-Apr-19,22.9,22.9,22.9,22.9,22.9,770,2,17633,770,100,0,0
